Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Neuronal ceroid lipofuscinosis,87.5,143.42857142857142,14.0,1.0,92.0,156.8695652173913,14,1.0,4.5,13.440993788819895
Color blindness,40.0,45.333333333333336,3.0,1.0,44.0,68.77777777777777,9,1.0,4.0,23.444444444444436
Peroxisomal disease,61.0,72.66666666666667,15.0,0.9375,65.0,95.0,22,0.9565217391304348,4.0,22.33333333333333
Neuropathy,100.0,168.58823529411765,136.0,0.9855072463768116,104.0,169.33827893175075,184,0.9435897435897436,4.0,0.7500436376330981
Autosomal recessive congenital ichthyosis,34.0,55.23076923076923,10.0,1.0,38.0,55.714285714285715,10,1.0,4.0,0.4835164835164818
Microphthalmia,87.0,170.91397849462365,66.0,1.0,91.0,177.97894736842105,66,1.0,4.0,7.0649688737973975
Hereditary spastic paraplegia,63.0,105.34722222222223,72.0,0.9863013698630136,67.0,106.3529411764706,72,0.9863013698630136,4.0,1.0057189542483655
Glycogen storage disease,99.0,132.28571428571428,21.0,0.9545454545454546,102.0,130.0,21,0.9545454545454546,3.0,-2.2857142857142776
Primary ovarian insufficiency,64.0,146.92592592592592,27.0,0.9642857142857143,67.0,174.32142857142858,27,0.9642857142857143,3.0,27.39550264550266
Dilated cardiomyopathy,119.0,215.55172413793105,29.0,1.0,122.0,227.86666666666667,30,1.0,3.0,12.314942528735628
Microcephaly,109.0,134.71428571428572,35.0,0.9459459459459459,111.5,131.83333333333334,35,0.9459459459459459,2.5,-2.8809523809523796
Obesity,79.0,257.55384615384617,65.0,0.9848484848484849,79.0,257.55384615384617,65,0.9848484848484849,0.0,0.0
Ocular albinism 1,73.0,73.0,1.0,1.0,73.0,73.0,1,1.0,0.0,0.0
Oculocerebrorenal syndrome,170.0,170.0,1.0,1.0,170.0,170.0,1,1.0,0.0,0.0
Oculocutaneous albinism,91.0,131.125,8.0,1.0,91.0,131.125,8,1.0,0.0,0.0
Oculodentodigital dysplasia,769.0,769.0,1.0,1.0,769.0,769.0,1,1.0,0.0,0.0
Nuclear type mitochondrial complex I deficiency 20,96.0,96.0,1.0,1.0,96.0,96.0,1,1.0,0.0,0.0
Neuroblastoma,315.0,764.0,7.0,1.0,315.0,764.0,7,1.0,0.0,0.0
Oculopharyngeal muscular dystrophy,224.0,224.0,1.0,1.0,224.0,224.0,1,1.0,0.0,0.0
Omenn syndrome,147.0,177.33333333333334,6.0,1.0,147.0,177.33333333333334,6,1.0,0.0,0.0
"Ohdo syndrome,  SBBYS variant",82.0,82.0,1.0,1.0,82.0,82.0,1,1.0,0.0,0.0
Netherton syndrome,99.0,99.0,1.0,1.0,99.0,99.0,1,1.0,0.0,0.0
Nephrolithiasis,529.0,518.4444444444445,9.0,1.0,529.0,518.4444444444445,9,1.0,0.0,0.0
Ollier disease,743.5,743.5,2.0,1.0,743.5,743.5,2,1.0,0.0,0.0
Opiate dependence,286.0,664.5263157894736,19.0,1.0,286.0,664.5263157894736,19,1.0,0.0,0.0
Opitz GBBB syndrome,103.0,113.66666666666667,3.0,1.0,103.0,113.66666666666667,3,1.0,0.0,0.0
Optic atrophy 3,48.0,48.0,1.0,1.0,48.0,48.0,1,1.0,0.0,0.0
Ornithine carbamoyltransferase deficiency,131.0,131.0,1.0,1.0,131.0,131.0,1,1.0,0.0,0.0
Nemaline myopathy 3,454.0,454.0,1.0,1.0,454.0,454.0,1,1.0,0.0,0.0
Norrie disease,118.0,118.0,1.0,1.0,118.0,118.0,1,1.0,0.0,0.0
Nephrogenic diabetes insipidus,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Norum disease,192.0,192.0,1.0,1.0,192.0,192.0,1,1.0,0.0,0.0
Neurofibromatosis,638.0,638.0,1.0,1.0,638.0,638.0,1,1.0,0.0,0.0
Neurodegeneration with brain iron accumulation 4,44.0,44.0,1.0,1.0,44.0,44.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 1,112.0,112.0,1.0,1.0,112.0,112.0,1,1.0,0.0,0.0
Nephroblastoma,421.0,1780.5,10.0,1.0,421.0,1780.5,10,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 10,428.0,428.0,1.0,1.0,428.0,428.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 11,608.0,608.0,1.0,1.0,608.0,608.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 3,135.0,135.0,1.0,1.0,135.0,135.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 4,83.0,83.0,1.0,1.0,83.0,83.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 5,59.0,59.0,1.0,1.0,59.0,59.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 6A,92.0,92.0,1.0,1.0,92.0,92.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 7,44.0,44.0,1.0,1.0,44.0,44.0,1,1.0,0.0,0.0
Neurodegeneration with brain iron accumulation 3,241.0,241.0,1.0,1.0,241.0,241.0,1,1.0,0.0,0.0
Neuronal ceroid lipofuscinosis 8,39.0,39.0,1.0,1.0,39.0,39.0,1,1.0,0.0,0.0
Ornithine translocase deficiency,53.0,53.0,1.0,1.0,53.0,53.0,1,1.0,0.0,0.0
Nevoid basal cell carcinoma syndrome,223.5,223.5,2.0,1.0,223.5,223.5,2,1.0,0.0,0.0
Nicolaides-Baraitser syndrome,312.0,312.0,1.0,1.0,312.0,312.0,1,1.0,0.0,0.0
Niemann-Pick disease,193.0,184.66666666666666,3.0,1.0,193.0,184.66666666666666,3,1.0,0.0,0.0
Nephronophthisis,52.0,59.08571428571429,22.0,1.0,52.0,59.08571428571429,22,1.0,0.0,0.0
Nonsyndromic congenital nail disorder 1,69.0,69.0,1.0,1.0,69.0,69.0,1,1.0,0.0,0.0
Nonsyndromic congenital nail disorder 4,23.0,23.0,1.0,1.0,23.0,23.0,1,1.0,0.0,0.0
Nonsyndromic deafness,61.5,124.12727272727273,138.0,0.9583333333333334,61.5,124.12727272727273,138,0.9583333333333334,0.0,0.0
