Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Wolf-Hirschhorn syndrome,knowledge_full,4,4,1.0,146.5,133.5,190.0,0.2415730337078652,3234.5,0.0,0.0,0.75,NSD2(199); MSX1(169); LETM1(124); CPLX1(42)
ICD10:Q933,knowledge_full,4,4,1.0,146.5,133.5,190.0,0.2415730337078652,3234.5,0.0,0.0,0.75,NSD2(199); MSX1(169); LETM1(124); CPLX1(42)
ICD10:D5,knowledge_full,27,27,1.0,146.0,241.09677419354838,675.0,0.4823085621552565,3140.0,0.12903225806451613,0.3548387096774194,0.9032258064516129,CFH(890); HBB(871); C3(747); HBA1(675); ATRX(364)
Vitamin B12 deficiency,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
Transcobalamin II deficiency,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
ICD10:D51,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
ICD10:D512,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
ICD10:E5,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
ICD10:E53,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
ICD10:E538,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3140.0,0.0,0.0,1.0,TCN2(146)
Gamstorp-Wohlfart syndrome,knowledge_full,1,1,1.0,146.0,146.0,146.0,0.0,3132.0,0.0,0.0,1.0,HINT1(146)
ICD10:Q75,knowledge_full,29,29,1.0,145.0,267.5483870967742,711.0,0.49644126729777455,3176.0,0.25806451612903225,0.41935483870967744,0.9032258064516129,FGFR1(758); TWIST1(748); FGFR2(711); FGFR2(711); TGFBR2(622)
Autosomal dominant intellectual developmental disorder,knowledge_full,18,18,1.0,144.5,216.05555555555554,501.8,0.41511671095111574,3188.5,0.1111111111111111,0.3333333333333333,1.0,SMARCA4(756); SMARCB1(527); ARID1A(491); SOX4(274); SMARCC2(238)
Exostosis,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
Hereditary multiple exostoses,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
ICD10:M2,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
ICD10:M25,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
ICD10:M257,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
ICD10:Q786,knowledge_full,2,2,1.0,144.5,144.5,148.0,0.01211072664359869,3189.5,0.0,0.0,1.0,EXT2(148); EXT2(148); EXT1(141); EXT1(141)
Acrocallosal syndrome,knowledge_full,2,2,1.0,144.5,144.5,202.5,0.25086505190311414,4298.5,0.0,0.5,1.0,GLI3(217); KIF7(72)
Cognitive disorder,knowledge_full,39,36,0.9230769230769231,143.0,825.8205128205128,2280.2000000000003,0.6837994288548516,3232.0,0.358974358974359,0.41025641025641024,0.9230769230769231,APOE(5224); AKT1(3744); APP(3187); SLC6A4(2401); SNCA(2250)
hemolytic-uremic syndrome,knowledge_full,11,11,1.0,143.0,270.72727272727275,747.0,0.5032663776787349,3244.0,0.18181818181818182,0.45454545454545453,1.0,CFH(890); C3(747); THBD(348); CD46(253); CFB(231)
ICD10:D59,knowledge_full,11,11,1.0,143.0,270.72727272727275,747.0,0.5032663776787349,3244.0,0.18181818181818182,0.45454545454545453,1.0,CFH(890); C3(747); THBD(348); CD46(253); CFB(231)
ICD10:D593,knowledge_full,11,11,1.0,143.0,270.72727272727275,747.0,0.5032663776787349,3244.0,0.18181818181818182,0.45454545454545453,1.0,CFH(890); C3(747); THBD(348); CD46(253); CFB(231)
Neonatal period electroclinical syndrome,knowledge_full,2,2,1.0,143.0,143.0,179.0,0.1573426573426573,3627.0,0.0,0.0,1.0,KCNQ2(188); KCNQ3(98)
Benign neonatal seizures,knowledge_full,2,2,1.0,143.0,143.0,179.0,0.1573426573426573,3627.0,0.0,0.0,1.0,KCNQ2(188); KCNQ3(98)
Pyruvate kinase deficiency of red cells,knowledge_full,1,1,1.0,143.0,143.0,143.0,0.0,3233.0,0.0,0.0,1.0,PKLR(143)
Congenital nonspherocytic hemolytic anemia,knowledge_full,1,1,1.0,143.0,143.0,143.0,0.0,3233.0,0.0,0.0,1.0,PKLR(143)
Complement factor I deficiency,knowledge_full,1,1,1.0,143.0,143.0,143.0,0.0,3244.0,0.0,0.0,1.0,CFI(143)
Dent disease,knowledge_full,2,2,1.0,142.5,142.5,164.5,0.09649122807017552,3408.0,0.0,0.0,1.0,OCRL(170); CLCN5(115)
